Group Code,Title,Description,Group Set,Available,Personalization,Self Enroll,Max Enrollment,Show Members,Sign Up From Group List,Sign Up Name,Sign Up Instructions
CIS453_Group_01,CIS453_Group_01,Team Design Group CIS453_Group_01 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_01 Sign Up Here,
CIS453_Group_02,CIS453_Group_02,Team Design Group CIS453_Group_02 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_02 Sign Up Here,
CIS453_Group_03,CIS453_Group_03,Team Design Group CIS453_Group_03 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_03 Sign Up Here,
CIS453_Group_04,CIS453_Group_04,Team Design Group CIS453_Group_04 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_04 Sign Up Here,
CIS453_Group_05,CIS453_Group_05,Team Design Group CIS453_Group_05 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_05 Sign Up Here,
CIS453_Group_06,CIS453_Group_06,Team Design Group CIS453_Group_06 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_06 Sign Up Here,
CIS453_Group_07,CIS453_Group_07,Team Design Group CIS453_Group_07 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_07 Sign Up Here,
CIS453_Group_08,CIS453_Group_08,Team Design Group CIS453_Group_08 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_08 Sign Up Here,
CIS453_Group_09,CIS453_Group_09,Team Design Group CIS453_Group_09 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_09 Sign Up Here,
CIS453_Group_10,CIS453_Group_10,Team Design Group CIS453_Group_10 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_10 Sign Up Here,
CIS453_Group_11,CIS453_Group_11,Team Design Group CIS453_Group_11 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_11 Sign Up Here,
CIS453_Group_12,CIS453_Group_12,Team Design Group CIS453_Group_12 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_12 Sign Up Here,
CIS453_Group_13,CIS453_Group_13,Team Design Group CIS453_Group_13 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_13 Sign Up Here,
CIS453_Group_14,CIS453_Group_14,Team Design Group CIS453_Group_14 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_14 Sign Up Here,
CIS453_Group_15,CIS453_Group_15,Team Design Group CIS453_Group_15 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_15 Sign Up Here,
CIS453_Group_16,CIS453_Group_16,Team Design Group CIS453_Group_16 for CIS453,CIS453,Y,Y,Y,4,Y,Y,CIS453_Group_16 Sign Up Here,
